iter	Passed	Remaining
415	2295	3222
416	2298	3213
417	2301	3205
418	2304	3196
419	2308	3187
420	2311	3178
421	2316	3172
422	2319	3163
423	2322	3155
424	2325	3146
425	2329	3139
426	2333	3130
427	2336	3122
428	2340	3114
429	2344	3108
430	2348	3100
431	2352	3093
432	2355	3084
433	2361	3080
434	2365	3072
435	2368	3063
436	2371	3054
437	2374	3047
438	2378	3039
439	2381	3030
440	2384	3023
441	2387	3014
442	2392	3007
443	2395	2999
444	2398	2991
445	2401	2983
446	2407	2978
447	2410	2969
448	2413	2961
449	2416	2953
450	2420	2946
451	2423	2938
452	2426	2930
453	2430	2922
454	2433	2914
455	2437	2907
456	2441	2900
457	2444	2893
458	2450	2888
459	2453	2880
460	2458	2874
461	2462	2867
462	2466	2860
463	2469	2852
464	2472	2844
465	2475	2836
466	2480	2830
467	2483	2822
468	2486	2814
469	2489	2807
470	2493	2800
471	2496	2792
472	2500	2786
473	2504	2779
474	2508	2772
475	2511	2765
476	2514	2757
477	2517	2749
478	2520	2742
479	2524	2734
480	2527	2726
481	2530	2719
482	2533	2711
483	2536	2704
484	2540	2698
485	2543	2690
486	2546	2682
487	2550	2675
488	2566	2682
489	2572	2676
490	2575	2670
491	2579	2663
492	2584	2657
493	2589	2652
494	2605	2658
495	2656	2699
496	2660	2693
497	2666	2687
498	2670	2680
499	2679	2679
500	2682	2671
501	2685	2664
502	2689	2657
503	2694	2652
504	2698	2645
505	2705	2641
506	2710	2635
507	2714	2628
508	2717	2621
509	2723	2616
510	2727	2610
511	2731	2603
512	2737	2599
513	2782	2630
514	2790	2627
515	2796	2623
516	2802	2618
517	2807	2612
518	2810	2604
519	2816	2600
520	2821	2593
521	2824	2586
522	2829	2580
523	2837	2577
524	2842	2571
525	2851	2569
526	2855	2562
527	2859	2555
528	2863	2549
529	2867	2542
530	2884	2548
531	2903	2553
532	2909	2549
533	2914	2543
534	2924	2541
535	2928	2534
536	2938	2533
537	2944	2528
538	2951	2524
539	2959	2520
540	2964	2515
541	2968	2508
542	2980	2508
543	2986	2503
544	3000	2504
545	3007	2500
546	3012	2495
547	3019	2490
548	3026	2486
549	3031	2480
550	3035	2473
551	3039	2466
552	3043	2459
553	3049	2455
554	3053	2448
555	3057	2441
556	3069	2441
557	3079	2439
558	3096	2442
559	3115	2448
560	3123	2444
561	3127	2437
562	3131	2430
563	3142	2429
564	3150	2425
565	3156	2420
566	3163	2415
567	3173	2413
568	3180	2409
569	3185	2403
570	3189	2396
571	3194	2390
572	3207	2390
573	3212	2384
574	3216	2377
575	3220	2370
576	3226	2365
577	3233	2360
578	3239	2355
579	3244	2349
580	3252	2345
581	3261	2342
582	3271	2339
583	3275	2333
584	3298	2339
585	3305	2335
586	3312	2330
587	3318	2325
588	3323	2319
589	3329	2313
590	3334	2307
591	3349	2308
592	3353	2301
593	3359	2296
594	3365	2290
595	3374	2287
596	3380	2281
597	3386	2276
598	3392	2270
599	3396	2264
600	3402	2258
601	3408	2253
602	3415	2248
603	3421	2242
604	3425	2236
605	3430	2230
606	3436	2224
607	3441	2218
608	3447	2213
609	3472	2220
610	3478	2214
611	3485	2209
612	3489	2202
613	3494	2197
614	3499	2190
615	3509	2187
616	3516	2183
617	3522	2177
618	3525	2170
619	3532	2165
620	3536	2158
621	3544	2154
622	3548	2147
623	3555	2142
624	3559	2135
625	3562	2128
626	3565	2121
627	3572	2116
628	3575	2109
629	3578	2101
630	3582	2094
631	3587	2088
632	3590	2081
633	3593	2074
634	3602	2070
635	3607	2064
636	3619	2062
637	3625	2056
638	3635	2053
639	3638	2046
640	3642	2039
641	3650	2035
642	3654	2028
643	3657	2021
644	3665	2017
645	3669	2010
646	3672	2003
647	3681	1999
648	3684	1992
649	3707	1996
650	3711	1989
651	3726	1988
652	3734	1984
653	3744	1980
654	3758	1979
655	3768	1976
656	3774	1970
657	3785	1967
658	3795	1963
659	3800	1957
660	3805	1951
661	3808	1944
662	3811	1937
663	3817	1931
664	3821	1924
665	3824	1918
666	3829	1911
667	3835	1906
668	3839	1899
669	3844	1893
670	3849	1887
671	3855	1881
672	3861	1876
673	3865	1869
674	3869	1863
675	3877	1858
676	3940	1879
677	3947	1874
678	3953	1869
679	3958	1862
680	3963	1856
681	3971	1851
682	3975	1845
683	3979	1838
684	3988	1834
685	3991	1827
686	3994	1819
687	3997	1812
688	4001	1806
689	4005	1799
690	4008	1792
691	4012	1785
692	4020	1781
693	4028	1776
694	4034	1770
695	4038	1763
696	4041	1757
697	4048	1751
698	4051	1744
699	4054	1737
700	4061	1732
701	4065	1725
702	4069	1719
703	4077	1714
704	4083	1708
705	4088	1702
706	4091	1695
707	4094	1688
708	4101	1683
709	4105	1676
710	4108	1669
711	4113	1664
712	4118	1657
713	4121	1650
714	4124	1644
715	4130	1638
716	4134	1631
717	4139	1625
718	4144	1619
719	4149	1613
720	4153	1607
721	4156	1600
722	4161	1594
723	4165	1588
724	4168	1581
725	4171	1574
726	4177	1568
727	4182	1562
728	4185	1555
729	4188	1549
730	4195	1543
731	4257	1558
732	4261	1552
733	4265	1545
734	4268	1538
735	4275	1533
736	4278	1526
737	4281	1519
738	4286	1513
739	4291	1507
740	4294	1500
741	4297	1494
742	4301	1487
743	4306	1481
744	4309	1474
745	4312	1468
746	4316	1461
747	4321	1455
748	4324	1449
749	4327	1442
750	4335	1437
751	4339	1431
752	4342	1424
753	4349	1419
754	4354	1412
755	4357	1406
756	4362	1400
757	4367	1394
758	4370	1387
759	4373	1381
760	4380	1375
761	4384	1369
762	4388	1363
763	4396	1358
764	4406	1353
765	4413	1348
766	4417	1341
767	4421	1335
768	4427	1329
769	4430	1323
770	4433	1316
771	4439	1311
772	4444	1305
773	4447	1298
774	4451	1292
775	4455	1286
776	4458	1279
777	4461	1273
778	4466	1267
779	4471	1261
780	4474	1254
781	4477	1248
782	4484	1242
783	4487	1236
784	4490	1229
785	4493	1223
786	4497	1217
787	4501	1210
788	4504	1204
789	4508	1198
790	4516	1193
791	4520	1187
792	4523	1180
793	4527	1174
794	4530	1168
795	4534	1161
796	4537	1155
797	4564	1155
798	4568	1149
799	4573	1143
800	4580	1137
801	4599	1135
802	4606	1130
803	4610	1123
804	4613	1117
805	4618	1111
806	4623	1105
807	4626	1099
808	4629	1092
809	4634	1087
810	4638	1081
811	4641	1074
812	4644	1068
813	4651	1062
814	4655	1056
815	4658	1050
816	4675	1047
817	4687	1042
818	4691	1036
819	4705	1032
820	4717	1028
821	4723	1022
822	4733	1018
823	4737	1011
824	4749	1007
825	4753	1001
826	4771	998
827	4783	993
828	4786	987
829	4795	982
830	4800	976
831	4804	970
832	4815	965
833	4818	959
834	4822	953
835	4831	947
836	4834	941
837	4844	936
838	4847	930
839	4855	924
840	4861	919
841	4872	914
842	4875	908
843	4879	901
844	4883	895
845	4889	890
846	4895	884
847	4903	879
848	4908	873
849	4912	866
850	4917	860
851	4921	854
852	4926	848
853	4930	842
854	4936	837
855	4942	831
856	4951	826
857	4955	820
858	4962	814
859	4966	808
860	4969	802
861	4973	796
862	4983	791
863	4987	784
864	4990	778
865	4995	773
866	4999	766
867	5003	760
868	5012	755
869	5018	749
870	5026	744
871	5035	739
872	5041	733
873	5044	727
874	5048	721
875	5052	715
876	5056	709
877	5060	703
878	5064	697
879	5069	691
880	5075	685
881	5080	679
882	5084	673
883	5088	667
884	5092	661
885	5096	655
886	5104	650
887	5108	644
888	5112	638
889	5119	632
890	5124	626
891	5137	622
892	5148	616
893	5153	611
894	5157	605
895	5165	599
896	5168	593
897	5178	588
898	5183	582
899	5197	577
900	5200	571
901	5207	565
902	5211	559
903	5214	553
904	5218	547
905	5222	541
906	5225	535
907	5229	529
908	5234	524
909	5238	518
910	5243	512
911	5248	506
912	5253	500
913	5257	494
914	5260	488
915	5265	482
916	5269	476
917	5272	470
918	5277	465
