iter	Logloss
0	0.4501712822
1	0.3054035785
2	0.2484932398
3	0.2126684218
4	0.1893122441
5	0.1742627743
6	0.1673335366
7	0.1613100277
8	0.153513654
9	0.148881628
10	0.1421205761
11	0.1389417
12	0.134739524
13	0.1310185232
14	0.12745376
15	0.1240928116
16	0.1209822
17	0.1190487184
18	0.1172150869
19	0.1153427296
20	0.1133871868
21	0.1109772141
22	0.1095648936
23	0.1092314064
24	0.1076376265
25	0.1063318479
26	0.1048767387
27	0.103581839
28	0.1016343911
29	0.1004651636
30	0.09856450853
31	0.09686588512
32	0.09565952798
33	0.09440029972
34	0.09344419238
35	0.0923780048
36	0.09175822818
37	0.09045849664
38	0.089441696
39	0.08855458308
40	0.08689488687
41	0.08584898143
42	0.08423788185
43	0.08312410655
44	0.08174563755
45	0.08064076971
46	0.07949985657
47	0.07856292816
48	0.07790671238
49	0.07737315251
50	0.07652270143
51	0.07536005137
52	0.07477367749
53	0.07414564391
54	0.07348789375
55	0.07291600221
56	0.072023094
57	0.07041801655
58	0.06993327161
59	0.06937609375
60	0.06840270687
61	0.06789479871
62	0.06706473786
63	0.06598017059
64	0.06535316839
65	0.06474006991
66	0.06431938392
67	0.06388888929
68	0.06356732578
69	0.06312494179
70	0.06265933338
71	0.06184196284
72	0.06121112893
73	0.06071910083
74	0.06005699691
75	0.05938679046
76	0.05886496808
77	0.05858549247
78	0.05832344587
79	0.05807775353
80	0.05782715074
81	0.05754347748
82	0.05710080018
83	0.05662341057
84	0.05618419917
85	0.05590395541
86	0.05560089742
87	0.05496659045
88	0.05473223236
89	0.05426908048
90	0.05394152568
91	0.05372563653
92	0.05329195625
93	0.05308032406
94	0.05285230975
95	0.05244128083
96	0.05202697432
97	0.05181681193
98	0.05150891559
99	0.05098292571
100	0.05079229239
101	0.05045612436
102	0.04969289093
103	0.04938967227
104	0.04902090481
105	0.04879983379
106	0.04830109465
107	0.04807953068
108	0.04733039003
109	0.04692686202
110	0.04675736749
111	0.04664458987
112	0.04601202009
113	0.04583797532
114	0.04566507775
115	0.04537530011
116	0.04524751051
117	0.04484825803
118	0.044653724
119	0.0445061654
120	0.0442330074
121	0.04403354068
122	0.04383326663
123	0.04350703907
124	0.0431375642
125	0.04269177455
126	0.04256981625
127	0.04226883895
128	0.04215578141
129	0.04179111149
130	0.04152607353
131	0.0412733734
132	0.04116846964
133	0.04098652352
134	0.04088536206
135	0.04063315089
136	0.04046345827
137	0.04029198181
138	0.039839797
139	0.03970905584
140	0.03946970723
141	0.03925660478
142	0.03904988026
143	0.03887822578
144	0.03873264468
145	0.03863110799
146	0.03854274823
147	0.03837017026
148	0.03828692013
149	0.03821108459
150	0.03805920072
151	0.03790383555
152	0.03775350194
153	0.03770993216
154	0.03755349038
155	0.03734186146
156	0.03714270958
157	0.03703327224
158	0.03686283487
159	0.03674916747
160	0.03665495769
161	0.03644795866
162	0.03621224887
163	0.03609120477
164	0.03591552915
165	0.03585066146
166	0.03561094487
167	0.03549419614
168	0.0353930113
169	0.03532376049
